1683,Крулько Iван Iванович,None
1842,Ксенжук Олександр Степанович,Народний фронт
198,Кубів Степан Іванович,Блок Петра Порошенка
18456,Кудлаєнко Сергій Володимирович,Блок Петра Порошенка
200,Кужель Олександра Володимирівна,"ВО ""Батьківщина"""
22989,Кузьменко Анатолій Іванович,Блок Петра Порошенка
203,Кулініч Олег Іванович,"Група ""Економічний розвиток"""
24311,Куліч Валерій Петрович,Блок Петра Порошенка
21972,Куліченко Іван Іванович,Блок Петра Порошенка
204,Куніцин Сергій Володимирович,Блок Петра Порошенка
21410,Купрієнко Олег Васильович,Радикальна партія Ляшка
19364,Купрій Віталій Миколайович,Блок Петра Порошенка
20376,Курило Віталій Семенович,Блок Петра Порошенка
19288,Курячий Максим Павлович,Блок Петра Порошенка
212,Кутовий Тарас Вікторович,Блок Петра Порошенка
19171,Кучер Микола Іванович,Блок Петра Порошенка
214,Лабазюк Сергій Петрович,"Група ""Воля народу"""
23814,Лаврик Микола Іванович,Блок Петра Порошенка
25925,Лаврик Олег Васильович,"Об'єднання ""Самопоміч"""
217,Ланьо Михайло Іванович,"Група ""Воля народу"""
21913,Лапін Ігор Олександрович,Народний фронт
24865,Ларін Сергій Миколайович,Опозиційний блок
25031,Левус Андрій Мар’янович,Народний фронт
21761,Левченко Юрій Володимирович,Не входить до складу жодної фракції
18444,Ледовських Олена Володимирівна,Народний фронт
18758,Ленський Олексій Олексійович,Радикальна партія Ляшка
26332,Лесюк Ярослав Васильович,Не входить до складу жодної фракції
26307,Лещенко Сергій Анатолійович,Блок Петра Порошенка
222,Литвин Володимир Михайлович,"Група ""Воля народу"""
18675,Лівік Олександр Петрович,Блок Петра Порошенка
20209,Лінько Дмитро Володимирович,Радикальна партія Ляшка
25033,Логвинський Георгій Володимирович,Народний фронт
18753,Лозовой Андрій Сергійович,Радикальна партія Ляшка
20526,Лопушанський Андрій Ярославович,Блок Петра Порошенка
22370,Лубінець Дмитро Валерійович,Блок Петра Порошенка
18441,Лук’янчук Руслан Валерійович,Народний фронт
227,Лунченко Валерій Валерійович,Народний фронт
21763,Луценко Ігор Вікторович,"ВО ""Батьківщина"""
228,Луценко Ірина Степанівна,Не входить до складу жодної фракції
26301,Луценко Юрій Віталійович,Блок Петра Порошенка
233,Льовочкіна Юлія Володимирівна,Опозиційний блок
24867,Льовочкін Сергій Володимирович,Опозиційний блок
20994,Люшняк Микола Володимирович,Блок Петра Порошенка
232,Ляшко Олег Валерійович,Радикальна партія Ляшка
20562,Макар’ян Давид Борисович,Блок Петра Порошенка
19159,Македон Юрій Миколайович,Блок Петра Порошенка
26304,Мамчур Юлій Валерійович,Блок Петра Порошенка
25927,Маркевич Ярослав Володимирович,"Об'єднання ""Самопоміч"""
239,Мартиненко Микола Володимирович,Народний фронт
242,Мартиняк Сергій Васильович,"Група ""Воля народу"""
243,Мартовицький Артур Володимирович,Опозиційний блок
19934,Марченко Олександр Олександрович,Не входить до складу жодної фракції
25040,Масоріна Олена Сергіївна,Народний фронт
19173,Матвієнко Анатолій Сергійович,Блок Петра Порошенка
246,Матвієнков Сергій Анатолійович,Опозиційний блок
23370,Матвійчук Едуард Леонідович,Не входить до складу жодної фракції
19506,Матейченко Костянтин Володимирович,Народний фронт
247,Матіос Марія Василівна,Блок Петра Порошенка
23252,Матківський Богдан Миронович,Блок Петра Порошенка
26330,Матузко Олена Олександрівна,Блок Петра Порошенка
24146,Мацола Роман Миколайович,Блок Петра Порошенка
20884,Медуниця Олег Вячеславович,Народний фронт
24108,Мельник Сергій Іванович,Блок Петра Порошенка
253,Мельниченко Володимир Володимирович,Блок Петра Порошенка
19139,Мельничук Іван Іванович,Блок Петра Порошенка
24613,Мельничук Сергій Петрович,Радикальна партія Ляшка
256,Мирний Іван Миколайович,Опозиційний блок
259,Мисик Володимир Юрійович,Не входить до складу жодної фракції
25944,Мірошник Андрій Миколайович,"Об'єднання ""Самопоміч"""
263,Мірошниченко Юрій Романович,Опозиційний блок
25928,Мірошніченко Іван Володимирович,"Об'єднання ""Самопоміч"""
265,Міщенко Сергій Григорович,Не входить до складу жодної фракції
266,Молоток Ігор Федорович,"Група ""Воля народу"""
18592,Мороко Юрій Миколайович,Опозиційний блок
20061,Мосійчук Ігор Володимирович,Радикальна партія Ляшка
269,Москаленко Ярослав Миколайович,"Група ""Воля народу"""
275,Мураєв Євгеній Володимирович,Не входить до складу жодної фракції
23279,Мусій Олег Степанович,Блок Петра Порошенка
26328,Мушак Олексій Петрович,Блок Петра Порошенка
26308,Найєм Мустафа-Масі,Блок Петра Порошенка
